id;callsign;airline_iata;airline_icao;origin;destination;aircraft_code;registration;latitude;longitude;altitude;ground_speed;heading;vertical_speed;on_ground;squawk;time
3b336e5e;JAL3;JL;JAL;JFK;HND;A35K;JA06WJ;35.3311;140.4866;17775;413;212;-1856;0;;1752261339
3b336f13;HBONA;;;;;J3;HB-ONA;47.0094;8.441;4668;68;261;0;0;;1752261339
3b33714d;FGA;;;;;TRIN;F-GA;45.2139;5.8865;4534;87;224;192;0;;1752261339
3b3371c4;PAL127;PR;PAL;JFK;MNL;A359;RP-C3508;36.1078;135.9132;40000;537;218;0;0;;1752261339
3b3372ae;UAE229;EK;UAE;DXB;SEA;B77W;A6-EQE;53.7171;-124.5551;37000;479;171;64;0;;1752261339
3b3375df;UAL60;UA;UAL;SFO;MEL;B789;N24988;-26.6333;164.9262;37996;386;234;0;0;;1752261337
3b337622;SIA37;SQ;SIA;LAX;SIN;A359;9V-SMV;9.6005;131.0945;40000;520;251;0;0;;1752261337
3b33774c;THY800;TK;THY;IST;BOG;A359;TC-LGT;9.3521;-71.7458;40975;480;207;64;0;;1752261339
3b337a7f;UAE1CR;EK;UAE;DXB;MEL;A388;A6-EVH;-37.9266;143.5416;15775;394;76;-1536;0;;1752261339
3b337b0e;UAL804;UA;UAL;HND;IAD;B772;N37018;38.9473;-77.4545;0;16;92;0;1;;1752261339
3b337d06;CPA851;CX;CPA;SFO;HKG;A359;B-LRS;22.7226;123.1272;43000;492;249;0;0;;1752261335
3b337f8f;UAL853;UA;UAL;SFO;TPE;B772;N78017;24.9611;124.1688;36000;469;259;0;0;;1752261337
3b33814c;EVA051;BR;EVA;IAH;TPE;B77W;B-16720;37.4787;138.2627;36000;539;234;0;0;;1752261339
3b33818f;UAE80T;EK;UAE;DXB;AKL;A388;A6-EVO;-39.6882;146.3593;39000;545;83;0;0;;1752261339
3b33824b;VOZ002;VA;QTR;DOH;SYD;B77W;A7-BAO;-36.9976;142.0855;37000;616;79;0;0;;1752261339
3b33826e;OOYKR;;;;;GLID;OO-YKR;50.037;5.4033;1820;1;51;0;0;;1752261338
3b3382a8;VJT755;VJ;VJT;GMP;LTN;GL7T;9H-VONE;43.5052;28.8566;49000;494;314;0;0;;1752261339
3b33835e;CCA984;CA;CCA;LAX;PEK;B77W;B-1429;37.7959;120.2357;34100;496;300;-64;0;;1752261315
3b338429;SJX005;JX;SJX;LAX;TPE;A359;B-58508;28.5889;126.0647;40000;454;231;0;0;;1752261338
3b3384e7;DAL294;DL;DAL;HND;ATL;A359;N572DZ;38.4109;-92.228;41000;482;145;0;0;;1752261339
3b338896;UAL877;UA;UAL;SFO;HKG;B77W;N2333U;23.7622;125.1688;36000;496;280;64;0;;1752261338
3b338986;PAL103;PR;PAL;LAX;MNL;B77W;RP-C7773;20.574;131.8529;33000;489;242;0;0;;1752261337
3b338bea;CSG2590;CS;CSG;NLU;PVG;B77L;B-223G;54.76;139.5501;38000;448;216;0;0;;1752261337
3b338ccc;CPA883;CX;CPA;LAX;HKG;B77W;B-KQU;23.1757;129.8654;36000;498;256;0;0;;1752261337
3b338e91;UAL152;UA;UAL;LAX;HKG;B789;N26967;24.1974;131.0592;38000;499;237;-64;0;;1752261338
3b338f87;ANA180;NH;ANA;NRT;MEX;B788;JA827A;21.5174;-101.1934;40975;473;124;0;0;;1752261338
3b338fa6;FDX1770;FX;FDX;IND;SLC;A306;N724FD;40.8043;-111.9818;0;0;346;0;1;;1752261339
3b339007;CXA830;MF;CXA;LAX;XMN;B789;B-1356;33.1283;129.3754;33975;475;247;0;0;;1752261339
3b339055;UAE434;EK;UAE;DXB;BNE;A388;A6-EOF;-24.9349;139.7958;39000;553;97;0;0;;1752261338
3b3390f8;D1246;;;;;GLID;D-1246;50.9057;9.2402;675;1;226;0;0;;1752261317
3b3391b4;FDX1419;FX;FDX;MEM;OAK;B763;N162FE;37.7166;-122.2186;0;0;137;0;1;;1752261331
3b3392af;B744;;;;;B744;;36.5697;140.0182;40000;481;236;0;0;;1752261339
3b33933e;AAL73;AA;AAL;LAX;SYD;B77W;N728AN;-22.1997;164.1227;36000;423;218;0;0;;1752261338
3b3393a7;CSN660;CZ;CSN;SFO;WUH;B77W;B-20DM;32.0165;123.6492;31800;520;262;896;0;;1752261338
3b3393e0;ETH506;ET;ETH;ADD;GRU;B77L;ET-ANR;-23.4488;-46.5238;2800;151;73;-640;0;;1752261339
3b339493;SJX001;JX;SJX;LAX;TPE;A359;B-58507;30.7871;129.0173;40000;474;239;-64;0;;1752261339
3b3395bd;QFA94;QF;QFA;LAX;MEL;A388;VH-OQL;-21.9044;165.1051;38000;440;221;0;0;;1752261339
3b3395d2;HLF8859;I9;DHK;SZX;BRU;B77L;B-226Y;50.805;4.3643;6550;255;247;-1280;0;;1752261339
